crash_id,vehicle_type
20193035,heavyrigidtruck
20191224,heavyrigidtruck
20191245,heavyrigidtruck
20191104,heavyrigidtruck
20191104,heavyrigidtruck
20193193,heavyrigidtruck
20192093,heavyrigidtruck
20192159,heavyrigidtruck
20191123,heavyrigidtruck
20191192,heavyrigidtruck
20191192,heavyrigidtruck
20192058,heavyrigidtruck
20196022,heavyrigidtruck
20191046,heavyrigidtruck
20194109,heavyrigidtruck
20192145,heavyrigidtruck
20191288,heavyrigidtruck
20191323,heavyrigidtruck
20191036,heavyrigidtruck
20191040,heavyrigidtruck
20195071,heavyrigidtruck
20192081,heavyrigidtruck
20185097,heavyrigidtruck
20181269,heavyrigidtruck
20183171,heavyrigidtruck
20183171,heavyrigidtruck
20184044,heavyrigidtruck
20182029,heavyrigidtruck
20181042,heavyrigidtruck
20181244,heavyrigidtruck
20182192,heavyrigidtruck
20183007,heavyrigidtruck
20181010,heavyrigidtruck
20181225,heavyrigidtruck
20181082,heavyrigidtruck
20185062,heavyrigidtruck
20183044,heavyrigidtruck
20183044,heavyrigidtruck
20182068,heavyrigidtruck
20182142,heavyrigidtruck
20181035,heavyrigidtruck
20186023,heavyrigidtruck
20181008,heavyrigidtruck
20181158,heavyrigidtruck
20181125,heavyrigidtruck
20181095,heavyrigidtruck
20183063,heavyrigidtruck
20183063,heavyrigidtruck
20183063,heavyrigidtruck
20181029,heavyrigidtruck
20183206,heavyrigidtruck
20184034,heavyrigidtruck
20185115,heavyrigidtruck
20188003,heavyrigidtruck
20181147,heavyrigidtruck
20181147,heavyrigidtruck
20183083,heavyrigidtruck
20182117,heavyrigidtruck
20183013,heavyrigidtruck
20185125,heavyrigidtruck
20181080,heavyrigidtruck
20183138,heavyrigidtruck
20183073,heavyrigidtruck
20181134,heavyrigidtruck
20181245,heavyrigidtruck
20182128,heavyrigidtruck
20182144,heavyrigidtruck
20182108,heavyrigidtruck
20184032,heavyrigidtruck
20184019,heavyrigidtruck
20181047,heavyrigidtruck
20181007,heavyrigidtruck
20182067,heavyrigidtruck
20183174,heavyrigidtruck
20181164,heavyrigidtruck
20184075,heavyrigidtruck
20183030,heavyrigidtruck
20183030,heavyrigidtruck
20183005,heavyrigidtruck
20181229,heavyrigidtruck
20185099,heavyrigidtruck
20181191,heavyrigidtruck
20181191,heavyrigidtruck
20181191,heavyrigidtruck
20186018,heavyrigidtruck
20181092,heavyrigidtruck
20181320,heavyrigidtruck
20181195,heavyrigidtruck
20181195,heavyrigidtruck
20181028,heavyrigidtruck
20183045,heavyrigidtruck
20182200,heavyrigidtruck
20175117,heavyrigidtruck
20176023,heavyrigidtruck
20172046,heavyrigidtruck
20172053,heavyrigidtruck
20173127,heavyrigidtruck
20171277,heavyrigidtruck
20171159,heavyrigidtruck
20175054,heavyrigidtruck
20175119,heavyrigidtruck
20175043,heavyrigidtruck
20175078,heavyrigidtruck
20172020,heavyrigidtruck
20172102,heavyrigidtruck
20171116,heavyrigidtruck
20171116,heavyrigidtruck
20172013,heavyrigidtruck
20172013,heavyrigidtruck
20174035,heavyrigidtruck
20171146,heavyrigidtruck
20172230,heavyrigidtruck
20176032,heavyrigidtruck
20172099,heavyrigidtruck
20175035,heavyrigidtruck
20174067,heavyrigidtruck
20171025,heavyrigidtruck
20171315,heavyrigidtruck
20175033,heavyrigidtruck
20176027,heavyrigidtruck
20171119,heavyrigidtruck
20171139,heavyrigidtruck
20171163,heavyrigidtruck
20173212,heavyrigidtruck
20175059,heavyrigidtruck
20175101,heavyrigidtruck
20172166,heavyrigidtruck
20171252,heavyrigidtruck
20171252,heavyrigidtruck
20171281,heavyrigidtruck
20175138,heavyrigidtruck
20174064,heavyrigidtruck
20171229,heavyrigidtruck
20172126,heavyrigidtruck
20171318,heavyrigidtruck
20172144,heavyrigidtruck
20171125,heavyrigidtruck
20171125,heavyrigidtruck
20172186,heavyrigidtruck
20172084,heavyrigidtruck
20173037,heavyrigidtruck
20171056,heavyrigidtruck
20173126,heavyrigidtruck
20171039,heavyrigidtruck
20173129,heavyrigidtruck
20175063,heavyrigidtruck
20176026,heavyrigidtruck
20175091,heavyrigidtruck
20171070,heavyrigidtruck
20173082,heavyrigidtruck
20175152,heavyrigidtruck
20172081,heavyrigidtruck
20173156,heavyrigidtruck
20171220,heavyrigidtruck
20173066,heavyrigidtruck
20173178,heavyrigidtruck
20171137,heavyrigidtruck
20172033,heavyrigidtruck
20172213,heavyrigidtruck
20175135,heavyrigidtruck
20174029,heavyrigidtruck
20171265,heavyrigidtruck
20171255,heavyrigidtruck
20171014,heavyrigidtruck
20173112,heavyrigidtruck
20171044,heavyrigidtruck
20172015,heavyrigidtruck
20171114,heavyrigidtruck
20175003,heavyrigidtruck
20172179,heavyrigidtruck
20176030,heavyrigidtruck
20172060,heavyrigidtruck
20171153,heavyrigidtruck
20171190,heavyrigidtruck
20174039,heavyrigidtruck
20175128,heavyrigidtruck
20171287,heavyrigidtruck
20171083,heavyrigidtruck
20171347,heavyrigidtruck
20171320,heavyrigidtruck
20173157,heavyrigidtruck
20171136,heavyrigidtruck
20171136,heavyrigidtruck
20161340,heavyrigidtruck
20165113,heavyrigidtruck
20165117,heavyrigidtruck
20161261,heavyrigidtruck
20161053,heavyrigidtruck
20161223,heavyrigidtruck
20164016,heavyrigidtruck
20161116,heavyrigidtruck
20161116,heavyrigidtruck
20161209,heavyrigidtruck
20165109,heavyrigidtruck
20161181,heavyrigidtruck
20161003,heavyrigidtruck
20161003,heavyrigidtruck
20161215,heavyrigidtruck
20161302,heavyrigidtruck
20161291,heavyrigidtruck
20164054,heavyrigidtruck
20161033,heavyrigidtruck
20165028,heavyrigidtruck
20165099,heavyrigidtruck
20161293,heavyrigidtruck
20161265,heavyrigidtruck
20161155,heavyrigidtruck
20161310,heavyrigidtruck
20164046,heavyrigidtruck
20165063,heavyrigidtruck
20161065,heavyrigidtruck
20161133,heavyrigidtruck
20161342,heavyrigidtruck
20164068,heavyrigidtruck
20164068,heavyrigidtruck
20164068,heavyrigidtruck
20164068,heavyrigidtruck
20161139,heavyrigidtruck
20165021,heavyrigidtruck
20161337,heavyrigidtruck
20161348,heavyrigidtruck
20161220,heavyrigidtruck
20161345,heavyrigidtruck
20161105,heavyrigidtruck
20161158,heavyrigidtruck
20161114,heavyrigidtruck
20161121,heavyrigidtruck
20161213,heavyrigidtruck
20161249,heavyrigidtruck
20166011,heavyrigidtruck
20165118,heavyrigidtruck
20152011,heavyrigidtruck
20152139,heavyrigidtruck
20152172,heavyrigidtruck
20151197,heavyrigidtruck
20151185,heavyrigidtruck
20151185,heavyrigidtruck
20151066,heavyrigidtruck
20156021,heavyrigidtruck
20151172,heavyrigidtruck
20151117,heavyrigidtruck
20151117,heavyrigidtruck
20156026,heavyrigidtruck
20152120,heavyrigidtruck
20155015,heavyrigidtruck
20152123,heavyrigidtruck
20152138,heavyrigidtruck
20152007,heavyrigidtruck
20151003,heavyrigidtruck
20151244,heavyrigidtruck
20151269,heavyrigidtruck
20151190,heavyrigidtruck
20151171,heavyrigidtruck
20156022,heavyrigidtruck
20152145,heavyrigidtruck
20155092,heavyrigidtruck
20157001,heavyrigidtruck
20152026,heavyrigidtruck
20152227,heavyrigidtruck
20152227,heavyrigidtruck
20151288,heavyrigidtruck
20151035,heavyrigidtruck
20151163,heavyrigidtruck
20155133,heavyrigidtruck
20155131,heavyrigidtruck
20152197,heavyrigidtruck
20154037,heavyrigidtruck
20156029,heavyrigidtruck
20151253,heavyrigidtruck
20151169,heavyrigidtruck
20151198,heavyrigidtruck
20152085,heavyrigidtruck
20155069,heavyrigidtruck
20151076,heavyrigidtruck
20155036,heavyrigidtruck
20155036,heavyrigidtruck
20152132,heavyrigidtruck
20151219,heavyrigidtruck
20151210,heavyrigidtruck
20152212,heavyrigidtruck
20152212,heavyrigidtruck
20152195,heavyrigidtruck
20155104,heavyrigidtruck
20152207,heavyrigidtruck
20151246,heavyrigidtruck
20152047,heavyrigidtruck
20151014,heavyrigidtruck
20151014,heavyrigidtruck
20152205,heavyrigidtruck
20151193,heavyrigidtruck
20154004,heavyrigidtruck
20154004,heavyrigidtruck
20155098,heavyrigidtruck
20156004,heavyrigidtruck
20144078,heavyrigidtruck
20144078,heavyrigidtruck
20144078,heavyrigidtruck
20144078,heavyrigidtruck
20145158,heavyrigidtruck
20144086,heavyrigidtruck
20145094,heavyrigidtruck
20144036,heavyrigidtruck
20144048,heavyrigidtruck
20145171,heavyrigidtruck
20145172,heavyrigidtruck
20145102,heavyrigidtruck
20144091,heavyrigidtruck
20144091,heavyrigidtruck
20145087,heavyrigidtruck
20144028,heavyrigidtruck
20144018,heavyrigidtruck
20146001,heavyrigidtruck
20146029,heavyrigidtruck
20144055,heavyrigidtruck
20144008,heavyrigidtruck
20146022,heavyrigidtruck
20145046,heavyrigidtruck
20145168,heavyrigidtruck
20145168,heavyrigidtruck
20145058,heavyrigidtruck
20144083,heavyrigidtruck
20144083,heavyrigidtruck
20241054,articulatedtruck
20241101,articulatedtruck
20241068,articulatedtruck
20241291,articulatedtruck
20243044,articulatedtruck
20241181,articulatedtruck
20241194,articulatedtruck
20241197,articulatedtruck
20243213,articulatedtruck
20242023,articulatedtruck
20243153,articulatedtruck
20241173,articulatedtruck
20241173,articulatedtruck
20246004,articulatedtruck
20243040,articulatedtruck
20243040,articulatedtruck
20241247,articulatedtruck
20243144,articulatedtruck
20241235,articulatedtruck
20243129,articulatedtruck
20243017,articulatedtruck
20243017,articulatedtruck
20241081,articulatedtruck
20241209,articulatedtruck
20243158,articulatedtruck
20243082,articulatedtruck
20242040,articulatedtruck
20243261,articulatedtruck
20243233,articulatedtruck
20246018,articulatedtruck
20243021,articulatedtruck
20243251,articulatedtruck
20246023,articulatedtruck
20241293,articulatedtruck
20241243,articulatedtruck
20241243,articulatedtruck
20242024,articulatedtruck
20241298,articulatedtruck
20241208,articulatedtruck
20242259,articulatedtruck
20243120,articulatedtruck
20243116,articulatedtruck
20243116,articulatedtruck
20243214,articulatedtruck
20241190,articulatedtruck
20241010,articulatedtruck
20243263,articulatedtruck
20243053,articulatedtruck
20243271,articulatedtruck
20243097,articulatedtruck
20243097,articulatedtruck
20243097,articulatedtruck
20242182,articulatedtruck
20241120,articulatedtruck
20242223,articulatedtruck
20241083,articulatedtruck
20241083,articulatedtruck
20244011,articulatedtruck
20244011,articulatedtruck
20244011,articulatedtruck
20241025,articulatedtruck
20242113,articulatedtruck
20241206,articulatedtruck
20241043,articulatedtruck
20243112,articulatedtruck
20242244,articulatedtruck
20243045,articulatedtruck
20243045,articulatedtruck
20243045,articulatedtruck
20241226,articulatedtruck
20241156,articulatedtruck
20242258,articulatedtruck
20242054,articulatedtruck
20241075,articulatedtruck
20243230,articulatedtruck
20241121,articulatedtruck
20243016,articulatedtruck
20241225,articulatedtruck
20241084,articulatedtruck
20241129,articulatedtruck
20241064,articulatedtruck
20241001,articulatedtruck
20241191,articulatedtruck
20241191,articulatedtruck
20241280,articulatedtruck
20241193,articulatedtruck
20243219,articulatedtruck
20233145,articulatedtruck
20231189,articulatedtruck
20232192,articulatedtruck
20232192,articulatedtruck
20231091,articulatedtruck
20232098,articulatedtruck
20232128,articulatedtruck
20232061,articulatedtruck
20231111,articulatedtruck
20231283,articulatedtruck
20231206,articulatedtruck
20231068,articulatedtruck
20232074,articulatedtruck
20231067,articulatedtruck
20233143,articulatedtruck
20233014,articulatedtruck
20234109,articulatedtruck
20233247,articulatedtruck
20231101,articulatedtruck
20233001,articulatedtruck
20231289,articulatedtruck
20233119,articulatedtruck
20233123,articulatedtruck
20233105,articulatedtruck
20233232,articulatedtruck
20231204,articulatedtruck
20232210,articulatedtruck
20232210,articulatedtruck
20232210,articulatedtruck
20232210,articulatedtruck
20233135,articulatedtruck
20233005,articulatedtruck
20233252,articulatedtruck
20233252,articulatedtruck
20231221,articulatedtruck
20231135,articulatedtruck
20233140,articulatedtruck
20231113,articulatedtruck
20232145,articulatedtruck
20231183,articulatedtruck
20231051,articulatedtruck
20232187,articulatedtruck
20231021,articulatedtruck
20231211,articulatedtruck
20236034,articulatedtruck
20231219,articulatedtruck
20232038,articulatedtruck
20233203,articulatedtruck
20233112,articulatedtruck
20232180,articulatedtruck
20233243,articulatedtruck
20231137,articulatedtruck
20231298,articulatedtruck
20232032,articulatedtruck
20232032,articulatedtruck
20232032,articulatedtruck
20232032,articulatedtruck
20232032,articulatedtruck
20231230,articulatedtruck
20231269,articulatedtruck
20231269,articulatedtruck
20231269,articulatedtruck
20233257,articulatedtruck
20231186,articulatedtruck
20237002,articulatedtruck
20231031,articulatedtruck
20236023,articulatedtruck
20236002,articulatedtruck
20234074,articulatedtruck
20231114,articulatedtruck
20231130,articulatedtruck
20231130,articulatedtruck
20231121,articulatedtruck
20231069,articulatedtruck
20232149,articulatedtruck
20232075,articulatedtruck
20233037,articulatedtruck
20232100,articulatedtruck
20232233,articulatedtruck
20233147,articulatedtruck
20233124,articulatedtruck
20233101,articulatedtruck
20232164,articulatedtruck
20233174,articulatedtruck
20233174,articulatedtruck
20233174,articulatedtruck
20223173,articulatedtruck
20221248,articulatedtruck
20221012,articulatedtruck
20223163,articulatedtruck
20223163,articulatedtruck
20221233,articulatedtruck
20223101,articulatedtruck
20223101,articulatedtruck
20221116,articulatedtruck
20221011,articulatedtruck
20222211,articulatedtruck
20222205,articulatedtruck
20222180,articulatedtruck
20223005,articulatedtruck
20222191,articulatedtruck
20223034,articulatedtruck
20222014,articulatedtruck
20222225,articulatedtruck
20223147,articulatedtruck
20222215,articulatedtruck
20223170,articulatedtruck
20223170,articulatedtruck
20221096,articulatedtruck
20221232,articulatedtruck
20221256,articulatedtruck
20222044,articulatedtruck
20222232,articulatedtruck
20223218,articulatedtruck
20227001,articulatedtruck
20227001,articulatedtruck
20222028,articulatedtruck
20222064,articulatedtruck
20222011,articulatedtruck
20223082,articulatedtruck
20223172,articulatedtruck
20223156,articulatedtruck
20221028,articulatedtruck
20222075,articulatedtruck
20223273,articulatedtruck
20221211,articulatedtruck
20222096,articulatedtruck
20223149,articulatedtruck
20221125,articulatedtruck
20221095,articulatedtruck
