person_id,crash_id,road_user,gender,age,age_group,load_ts
2035,20221082,Pedestrian,Female,75,75_or_older,2025-05-06T08:22:34
2036,20223181,Motorcycle rider,Male,45,40_to_64,2025-05-06T08:22:34
2037,20224055,Driver,Male,48,40_to_64,2025-05-06T08:22:34
2038,20223206,Pedestrian,Male,73,65_to_74,2025-05-06T08:22:34
2039,20224032,Motorcycle rider,Male,25,17_to_25,2025-05-06T08:22:34
2040,20222052,Driver,Male,41,40_to_64,2025-05-06T08:22:34
2041,20221262,Pedestrian,Female,69,65_to_74,2025-05-06T08:22:34
2042,20222106,Pedestrian,Male,73,65_to_74,2025-05-06T08:22:34
2043,20226038,Driver,Male,25,17_to_25,2025-05-06T08:22:34
2044,20223272,Motorcycle rider,Male,39,26_to_39,2025-05-06T08:22:34
2045,20222098,Motorcycle rider,Male,68,65_to_74,2025-05-06T08:22:34
2046,20224002,Pedal cyclist,Male,55,40_to_64,2025-05-06T08:22:34
2047,20221087,Driver,Male,26,26_to_39,2025-05-06T08:22:34
2048,20222108,Pedestrian,Male,72,65_to_74,2025-05-06T08:22:34
2049,20223062,Driver,Female,22,17_to_25,2025-05-06T08:22:34
2050,20224013,Motorcycle rider,Male,33,26_to_39,2025-05-06T08:22:34
2051,20222182,Pedal cyclist,Male,29,26_to_39,2025-05-06T08:22:34
2052,20223051,Driver,Male,21,17_to_25,2025-05-06T08:22:34
2053,20221233,Driver,Female,59,40_to_64,2025-05-06T08:22:34
2054,20221105,Driver,Female,62,40_to_64,2025-05-06T08:22:34
2055,20226040,Pedestrian,Male,74,65_to_74,2025-05-06T08:22:34
2056,20221078,Pedestrian,Female,52,40_to_64,2025-05-06T08:22:34
2057,20223219,Pedestrian,Female,77,75_or_older,2025-05-06T08:22:34
2058,20222012,Pedestrian,Female,24,17_to_25,2025-05-06T08:22:34
2059,20223091,Driver,Male,84,75_or_older,2025-05-06T08:22:34
2060,20222013,Pedestrian,Male,44,40_to_64,2025-05-06T08:22:34
2061,20222016,Motorcycle rider,Male,30,26_to_39,2025-05-06T08:22:34
2062,20223074,Pedestrian,Male,30,26_to_39,2025-05-06T08:22:34
2063,20223071,Motorcycle pillion passenger,Female,35,26_to_39,2025-05-06T08:22:34
